"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 1995 to Mar 1996","East Midlands","North East thousands","153",153,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","North West thousands","1,265",1265,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Yorkshire and the Humber thousands","1,430",1430,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","West Midlands thousands","1,513",1513,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","East England thousands","736",736,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","London thousands","3,831",3831,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","South East thousands","614",614,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","South West thousands","241",241,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Wales thousands","109",109,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Scotland thousands","147",147,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Journeys within East Midlands thousands","4,430",4430,1,"Within region"
"Apr 1995 to Mar 1996","East England","North East thousands","245",245,1,"Between regions"
"Apr 1995 to Mar 1996","East England","North West thousands","502",502,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Yorkshire and the Humber thousands","455",455,1,"Between regions"
"Apr 1995 to Mar 1996","East England","East Midlands thousands","736",736,1,"Between regions"
"Apr 1995 to Mar 1996","East England","West Midlands thousands","363",363,1,"Between regions"
"Apr 1995 to Mar 1996","East England","London thousands","61,807",61807,1,"Between regions"
"Apr 1995 to Mar 1996","East England","South East thousands","1,819",1819,1,"Between regions"
"Apr 1995 to Mar 1996","East England","South West thousands","339",339,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Wales thousands","120",120,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Scotland thousands","282",282,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Journeys within East England thousands","12,163",12163,1,"Within region"
"Apr 1995 to Mar 1996","London","North East thousands","1,179",1179,1,"Between regions"
"Apr 1995 to Mar 1996","London","North West thousands","4,326",4326,1,"Between regions"
"Apr 1995 to Mar 1996","London","Yorkshire and the Humber thousands","2,705",2705,1,"Between regions"
"Apr 1995 to Mar 1996","London","East Midlands thousands","3,831",3831,1,"Between regions"
"Apr 1995 to Mar 1996","London","West Midlands thousands","3,886",3886,1,"Between regions"
"Apr 1995 to Mar 1996","London","East England thousands","61,807",61807,1,"Between regions"
"Apr 1995 to Mar 1996","London","South East thousands","91,914",91914,1,"Between regions"
"Apr 1995 to Mar 1996","London","South West thousands","5,910",5910,1,"Between regions"
"Apr 1995 to Mar 1996","London","Wales thousands","1,404",1404,1,"Between regions"
"Apr 1995 to Mar 1996","London","Scotland thousands","1,232",1232,1,"Between regions"
"Apr 1995 to Mar 1996","London","Journeys within London thousands","200,694",200694,1,"Within region"
"Apr 1995 to Mar 1996","North East","North West thousands","508",508,1,"Between regions"
"Apr 1995 to Mar 1996","North East","Yorkshire and the Humber thousands","902",902,1,"Between regions"
"Apr 1995 to Mar 1996","North East","East Midlands thousands","153",153,1,"Between regions"
"Apr 1995 to Mar 1996","North East","West Midlands thousands","165",165,1,"Between regions"
"Apr 1995 to Mar 1996","North East","East England thousands","245",245,1,"Between regions"
"Apr 1995 to Mar 1996","North East","London thousands","1,179",1179,1,"Between regions"
"Apr 1995 to Mar 1996","North East","South East thousands","224",224,1,"Between regions"
"Apr 1995 to Mar 1996","North East","South West thousands","150",150,1,"Between regions"
"Apr 1995 to Mar 1996","North East","Wales thousands","44",44,1,"Between regions"
"Apr 1995 to Mar 1996","North East","Scotland thousands","726",726,1,"Between regions"
"Apr 1995 to Mar 1996","North East","Journeys within North East thousands","3,268",3268,1,"Within region"
"Apr 1995 to Mar 1996","North West","North East thousands","508",508,1,"Between regions"
"Apr 1995 to Mar 1996","North West","Yorkshire and the Humber thousands","3,061",3061,1,"Between regions"
"Apr 1995 to Mar 1996","North West","East Midlands thousands","1,265",1265,1,"Between regions"
"Apr 1995 to Mar 1996","North West","West Midlands thousands","1,689",1689,1,"Between regions"
"Apr 1995 to Mar 1996","North West","East England thousands","502",502,1,"Between regions"
"Apr 1995 to Mar 1996","North West","London thousands","4,326",4326,1,"Between regions"
"Apr 1995 to Mar 1996","North West","South East thousands","920",920,1,"Between regions"
"Apr 1995 to Mar 1996","North West","South West thousands","471",471,1,"Between regions"
"Apr 1995 to Mar 1996","North West","Wales thousands","1,046",1046,1,"Between regions"
"Apr 1995 to Mar 1996","North West","Scotland thousands","836",836,1,"Between regions"
"Apr 1995 to Mar 1996","North West","Journeys within North West thousands","25,226",25226,1,"Within region"
"Apr 1995 to Mar 1996","Scotland","North East thousands","726",726,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","North West thousands","836",836,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","Yorkshire and the Humber thousands","536",536,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","East Midlands thousands","147",147,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","West Midlands thousands","225",225,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","East England thousands","282",282,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","London thousands","1,232",1232,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","South East thousands","322",322,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","South West thousands","185",185,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","Wales thousands","76",76,1,"Between regions"
"Apr 1995 to Mar 1996","Scotland","Journeys within Scotland thousands","44,376",44376,1,"Within region"
"Apr 1995 to Mar 1996","South East","North East thousands","224",224,1,"Between regions"
"Apr 1995 to Mar 1996","South East","North West thousands","920",920,1,"Between regions"
"Apr 1995 to Mar 1996","South East","Yorkshire and the Humber thousands","471",471,1,"Between regions"
"Apr 1995 to Mar 1996","South East","East Midlands thousands","614",614,1,"Between regions"
"Apr 1995 to Mar 1996","South East","West Midlands thousands","1,126",1126,1,"Between regions"
"Apr 1995 to Mar 1996","South East","East England thousands","1,819",1819,1,"Between regions"
"Apr 1995 to Mar 1996","South East","London thousands","91,914",91914,1,"Between regions"
"Apr 1995 to Mar 1996","South East","South West thousands","3,180",3180,1,"Between regions"
"Apr 1995 to Mar 1996","South East","Wales thousands","465",465,1,"Between regions"
"Apr 1995 to Mar 1996","South East","Scotland thousands","322",322,1,"Between regions"
"Apr 1995 to Mar 1996","South East","Journeys within South East thousands","44,776",44776,1,"Within region"
"Apr 1995 to Mar 1996","South West","North East thousands","150",150,1,"Between regions"
"Apr 1995 to Mar 1996","South West","North West thousands","471",471,1,"Between regions"
"Apr 1995 to Mar 1996","South West","Yorkshire and the Humber thousands","333",333,1,"Between regions"
"Apr 1995 to Mar 1996","South West","East Midlands thousands","241",241,1,"Between regions"
"Apr 1995 to Mar 1996","South West","West Midlands thousands","718",718,1,"Between regions"
"Apr 1995 to Mar 1996","South West","East England thousands","339",339,1,"Between regions"
"Apr 1995 to Mar 1996","South West","London thousands","5,910",5910,1,"Between regions"
"Apr 1995 to Mar 1996","South West","South East thousands","3,180",3180,1,"Between regions"
"Apr 1995 to Mar 1996","South West","Wales thousands","1,150",1150,1,"Between regions"
"Apr 1995 to Mar 1996","South West","Scotland thousands","185",185,1,"Between regions"
"Apr 1995 to Mar 1996","South West","Journeys within South West thousands","9,054",9054,1,"Within region"
"Apr 1995 to Mar 1996","Wales","North East thousands","44",44,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","North West thousands","1,046",1046,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","Yorkshire and the Humber thousands","123",123,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","East Midlands thousands","109",109,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","West Midlands thousands","561",561,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","East England thousands","120",120,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","London thousands","1,404",1404,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","South East thousands","465",465,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","South West thousands","1,150",1150,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","Scotland thousands","76",76,1,"Between regions"
"Apr 1995 to Mar 1996","Wales","Journeys within Wales thousands","9,390",9390,1,"Within region"
"Apr 1995 to Mar 1996","West Midlands","North East thousands","165",165,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","North West thousands","1,689",1689,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","Yorkshire and the Humber thousands","491",491,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","East Midlands thousands","1,513",1513,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","East England thousands","363",363,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","London thousands","3,886",3886,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","South East thousands","1,126",1126,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","South West thousands","718",718,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","Wales thousands","561",561,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","Scotland thousands","225",225,1,"Between regions"
"Apr 1995 to Mar 1996","West Midlands","Journeys within West Midlands thousands","12,263",12263,1,"Within region"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","North East thousands","902",902,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","North West thousands","3,061",3061,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","East Midlands thousands","1,430",1430,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","West Midlands thousands","491",491,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","East England thousands","455",455,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","London thousands","2,705",2705,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","South East thousands","471",471,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","South West thousands","333",333,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","Wales thousands","123",123,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","Scotland thousands","536",536,1,"Between regions"
"Apr 1995 to Mar 1996","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","14,627",14627,1,"Within region"
"Apr 1996 to Mar 1997","East Midlands","North East thousands","161",161,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","North West thousands","1,337",1337,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","Yorkshire and the Humber thousands","1,535",1535,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","West Midlands thousands","1,633",1633,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","East England thousands","791",791,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","London thousands","4,130",4130,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","South East thousands","619",619,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","South West thousands","250",250,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","Wales thousands","112",112,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","Scotland thousands","148",148,2,"Between regions"
"Apr 1996 to Mar 1997","East Midlands","Journeys within East Midlands thousands","4,763",4763,2,"Within region"
"Apr 1996 to Mar 1997","East England","North East thousands","248",248,2,"Between regions"
"Apr 1996 to Mar 1997","East England","North West thousands","536",536,2,"Between regions"
"Apr 1996 to Mar 1997","East England","Yorkshire and the Humber thousands","484",484,2,"Between regions"
"Apr 1996 to Mar 1997","East England","East Midlands thousands","791",791,2,"Between regions"
"Apr 1996 to Mar 1997","East England","West Midlands thousands","389",389,2,"Between regions"
"Apr 1996 to Mar 1997","East England","London thousands","69,547",69547,2,"Between regions"
"Apr 1996 to Mar 1997","East England","South East thousands","1,910",1910,2,"Between regions"
"Apr 1996 to Mar 1997","East England","South West thousands","353",353,2,"Between regions"
"Apr 1996 to Mar 1997","East England","Wales thousands","120",120,2,"Between regions"
"Apr 1996 to Mar 1997","East England","Scotland thousands","260",260,2,"Between regions"
"Apr 1996 to Mar 1997","East England","Journeys within East England thousands","12,662",12662,2,"Within region"
"Apr 1996 to Mar 1997","London","North East thousands","1,289",1289,2,"Between regions"
"Apr 1996 to Mar 1997","London","North West thousands","4,545",4545,2,"Between regions"
"Apr 1996 to Mar 1997","London","Yorkshire and the Humber thousands","2,932",2932,2,"Between regions"
"Apr 1996 to Mar 1997","London","East Midlands thousands","4,130",4130,2,"Between regions"
"Apr 1996 to Mar 1997","London","West Midlands thousands","4,167",4167,2,"Between regions"
"Apr 1996 to Mar 1997","London","East England thousands","69,547",69547,2,"Between regions"
"Apr 1996 to Mar 1997","London","South East thousands","99,163",99163,2,"Between regions"
"Apr 1996 to Mar 1997","London","South West thousands","6,090",6090,2,"Between regions"
"Apr 1996 to Mar 1997","London","Wales thousands","1,454",1454,2,"Between regions"
"Apr 1996 to Mar 1997","London","Scotland thousands","1,190",1190,2,"Between regions"
"Apr 1996 to Mar 1997","London","Journeys within London thousands","211,300",211300,2,"Within region"
"Apr 1996 to Mar 1997","North East","North West thousands","517",517,2,"Between regions"
"Apr 1996 to Mar 1997","North East","Yorkshire and the Humber thousands","964",964,2,"Between regions"
"Apr 1996 to Mar 1997","North East","East Midlands thousands","161",161,2,"Between regions"
"Apr 1996 to Mar 1997","North East","West Midlands thousands","166",166,2,"Between regions"
"Apr 1996 to Mar 1997","North East","East England thousands","248",248,2,"Between regions"
"Apr 1996 to Mar 1997","North East","London thousands","1,289",1289,2,"Between regions"
"Apr 1996 to Mar 1997","North East","South East thousands","232",232,2,"Between regions"
"Apr 1996 to Mar 1997","North East","South West thousands","156",156,2,"Between regions"
"Apr 1996 to Mar 1997","North East","Wales thousands","45",45,2,"Between regions"
"Apr 1996 to Mar 1997","North East","Scotland thousands","752",752,2,"Between regions"
"Apr 1996 to Mar 1997","North East","Journeys within North East thousands","3,504",3504,2,"Within region"
"Apr 1996 to Mar 1997","North West","North East thousands","517",517,2,"Between regions"
"Apr 1996 to Mar 1997","North West","Yorkshire and the Humber thousands","3,209",3209,2,"Between regions"
"Apr 1996 to Mar 1997","North West","East Midlands thousands","1,337",1337,2,"Between regions"
"Apr 1996 to Mar 1997","North West","West Midlands thousands","1,750",1750,2,"Between regions"
"Apr 1996 to Mar 1997","North West","East England thousands","536",536,2,"Between regions"
"Apr 1996 to Mar 1997","North West","London thousands","4,545",4545,2,"Between regions"
"Apr 1996 to Mar 1997","North West","South East thousands","946",946,2,"Between regions"
"Apr 1996 to Mar 1997","North West","South West thousands","474",474,2,"Between regions"
"Apr 1996 to Mar 1997","North West","Wales thousands","1,126",1126,2,"Between regions"
"Apr 1996 to Mar 1997","North West","Scotland thousands","852",852,2,"Between regions"
"Apr 1996 to Mar 1997","North West","Journeys within North West thousands","28,828",28828,2,"Within region"
"Apr 1996 to Mar 1997","Scotland","North East thousands","752",752,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","North West thousands","852",852,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","Yorkshire and the Humber thousands","562",562,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","East Midlands thousands","148",148,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","West Midlands thousands","226",226,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","East England thousands","260",260,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","London thousands","1,190",1190,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","South East thousands","293",293,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","South West thousands","179",179,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","Wales thousands","74",74,2,"Between regions"
"Apr 1996 to Mar 1997","Scotland","Journeys within Scotland thousands","45,216",45216,2,"Within region"
"Apr 1996 to Mar 1997","South East","North East thousands","232",232,2,"Between regions"
"Apr 1996 to Mar 1997","South East","North West thousands","946",946,2,"Between regions"
"Apr 1996 to Mar 1997","South East","Yorkshire and the Humber thousands","490",490,2,"Between regions"
"Apr 1996 to Mar 1997","South East","East Midlands thousands","619",619,2,"Between regions"
"Apr 1996 to Mar 1997","South East","West Midlands thousands","1,197",1197,2,"Between regions"
"Apr 1996 to Mar 1997","South East","East England thousands","1,910",1910,2,"Between regions"
"Apr 1996 to Mar 1997","South East","London thousands","99,163",99163,2,"Between regions"
"Apr 1996 to Mar 1997","South East","South West thousands","3,402",3402,2,"Between regions"
"Apr 1996 to Mar 1997","South East","Wales thousands","477",477,2,"Between regions"
"Apr 1996 to Mar 1997","South East","Scotland thousands","293",293,2,"Between regions"
"Apr 1996 to Mar 1997","South East","Journeys within South East thousands","45,786",45786,2,"Within region"
"Apr 1996 to Mar 1997","South West","North East thousands","156",156,2,"Between regions"
"Apr 1996 to Mar 1997","South West","North West thousands","474",474,2,"Between regions"
"Apr 1996 to Mar 1997","South West","Yorkshire and the Humber thousands","340",340,2,"Between regions"
"Apr 1996 to Mar 1997","South West","East Midlands thousands","250",250,2,"Between regions"
"Apr 1996 to Mar 1997","South West","West Midlands thousands","766",766,2,"Between regions"
"Apr 1996 to Mar 1997","South West","East England thousands","353",353,2,"Between regions"
"Apr 1996 to Mar 1997","South West","London thousands","6,090",6090,2,"Between regions"
"Apr 1996 to Mar 1997","South West","South East thousands","3,402",3402,2,"Between regions"
"Apr 1996 to Mar 1997","South West","Wales thousands","1,204",1204,2,"Between regions"
"Apr 1996 to Mar 1997","South West","Scotland thousands","179",179,2,"Between regions"
"Apr 1996 to Mar 1997","South West","Journeys within South West thousands","9,503",9503,2,"Within region"
"Apr 1996 to Mar 1997","Wales","North East thousands","45",45,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","North West thousands","1,126",1126,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","Yorkshire and the Humber thousands","125",125,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","East Midlands thousands","112",112,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","West Midlands thousands","593",593,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","East England thousands","120",120,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","London thousands","1,454",1454,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","South East thousands","477",477,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","South West thousands","1,204",1204,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","Scotland thousands","74",74,2,"Between regions"
"Apr 1996 to Mar 1997","Wales","Journeys within Wales thousands","9,553",9553,2,"Within region"
"Apr 1996 to Mar 1997","West Midlands","North East thousands","166",166,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","North West thousands","1,750",1750,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","Yorkshire and the Humber thousands","504",504,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","East Midlands thousands","1,633",1633,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","East England thousands","389",389,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","London thousands","4,167",4167,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","South East thousands","1,197",1197,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","South West thousands","766",766,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","Wales thousands","593",593,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","Scotland thousands","226",226,2,"Between regions"
"Apr 1996 to Mar 1997","West Midlands","Journeys within West Midlands thousands","13,594",13594,2,"Within region"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","North East thousands","964",964,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","North West thousands","3,209",3209,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","East Midlands thousands","1,535",1535,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","West Midlands thousands","504",504,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","East England thousands","484",484,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","London thousands","2,932",2932,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","South East thousands","490",490,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","South West thousands","340",340,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","Wales thousands","125",125,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","Scotland thousands","562",562,2,"Between regions"
"Apr 1996 to Mar 1997","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","16,194",16194,2,"Within region"
"Apr 1997 to Mar 1998","East Midlands","North East thousands","167",167,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","North West thousands","1,469",1469,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","Yorkshire and the Humber thousands","1,614",1614,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","West Midlands thousands","1,800",1800,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","East England thousands","878",878,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","London thousands","4,642",4642,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","South East thousands","673",673,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","South West thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","Wales thousands","113",113,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","Scotland thousands","152",152,3,"Between regions"
"Apr 1997 to Mar 1998","East Midlands","Journeys within East Midlands thousands","5,173",5173,3,"Within region"
"Apr 1997 to Mar 1998","East England","North East thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","East England","North West thousands","562",562,3,"Between regions"
"Apr 1997 to Mar 1998","East England","Yorkshire and the Humber thousands","516",516,3,"Between regions"
"Apr 1997 to Mar 1998","East England","East Midlands thousands","878",878,3,"Between regions"
"Apr 1997 to Mar 1998","East England","West Midlands thousands","422",422,3,"Between regions"
"Apr 1997 to Mar 1998","East England","London thousands","74,983",74983,3,"Between regions"
"Apr 1997 to Mar 1998","East England","South East thousands","2,074",2074,3,"Between regions"
"Apr 1997 to Mar 1998","East England","South West thousands","375",375,3,"Between regions"
"Apr 1997 to Mar 1998","East England","Wales thousands","121",121,3,"Between regions"
"Apr 1997 to Mar 1998","East England","Scotland thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","East England","Journeys within East England thousands","13,788",13788,3,"Within region"
"Apr 1997 to Mar 1998","London","North East thousands","1,442",1442,3,"Between regions"
"Apr 1997 to Mar 1998","London","North West thousands","5,257",5257,3,"Between regions"
"Apr 1997 to Mar 1998","London","Yorkshire and the Humber thousands","3,334",3334,3,"Between regions"
"Apr 1997 to Mar 1998","London","East Midlands thousands","4,642",4642,3,"Between regions"
"Apr 1997 to Mar 1998","London","West Midlands thousands","4,687",4687,3,"Between regions"
"Apr 1997 to Mar 1998","London","East England thousands","74,983",74983,3,"Between regions"
"Apr 1997 to Mar 1998","London","South East thousands","106,974",106974,3,"Between regions"
"Apr 1997 to Mar 1998","London","South West thousands","6,703",6703,3,"Between regions"
"Apr 1997 to Mar 1998","London","Wales thousands","1,555",1555,3,"Between regions"
"Apr 1997 to Mar 1998","London","Scotland thousands","1,180",1180,3,"Between regions"
"Apr 1997 to Mar 1998","London","Journeys within London thousands","222,936",222936,3,"Within region"
"Apr 1997 to Mar 1998","North East","North West thousands","535",535,3,"Between regions"
"Apr 1997 to Mar 1998","North East","Yorkshire and the Humber thousands","1,050",1050,3,"Between regions"
"Apr 1997 to Mar 1998","North East","East Midlands thousands","167",167,3,"Between regions"
"Apr 1997 to Mar 1998","North East","West Midlands thousands","178",178,3,"Between regions"
"Apr 1997 to Mar 1998","North East","East England thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","North East","London thousands","1,442",1442,3,"Between regions"
"Apr 1997 to Mar 1998","North East","South East thousands","245",245,3,"Between regions"
"Apr 1997 to Mar 1998","North East","South West thousands","161",161,3,"Between regions"
"Apr 1997 to Mar 1998","North East","Wales thousands","47",47,3,"Between regions"
"Apr 1997 to Mar 1998","North East","Scotland thousands","830",830,3,"Between regions"
"Apr 1997 to Mar 1998","North East","Journeys within North East thousands","3,741",3741,3,"Within region"
"Apr 1997 to Mar 1998","North West","North East thousands","535",535,3,"Between regions"
"Apr 1997 to Mar 1998","North West","Yorkshire and the Humber thousands","3,447",3447,3,"Between regions"
"Apr 1997 to Mar 1998","North West","East Midlands thousands","1,469",1469,3,"Between regions"
"Apr 1997 to Mar 1998","North West","West Midlands thousands","1,859",1859,3,"Between regions"
"Apr 1997 to Mar 1998","North West","East England thousands","562",562,3,"Between regions"
"Apr 1997 to Mar 1998","North West","London thousands","5,257",5257,3,"Between regions"
"Apr 1997 to Mar 1998","North West","South East thousands","986",986,3,"Between regions"
"Apr 1997 to Mar 1998","North West","South West thousands","515",515,3,"Between regions"
"Apr 1997 to Mar 1998","North West","Wales thousands","1,186",1186,3,"Between regions"
"Apr 1997 to Mar 1998","North West","Scotland thousands","905",905,3,"Between regions"
"Apr 1997 to Mar 1998","North West","Journeys within North West thousands","32,477",32477,3,"Within region"
"Apr 1997 to Mar 1998","Scotland","North East thousands","830",830,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","North West thousands","905",905,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","Yorkshire and the Humber thousands","603",603,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","East Midlands thousands","152",152,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","West Midlands thousands","228",228,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","East England thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","London thousands","1,180",1180,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","South East thousands","287",287,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","South West thousands","181",181,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","Wales thousands","72",72,3,"Between regions"
"Apr 1997 to Mar 1998","Scotland","Journeys within Scotland thousands","48,355",48355,3,"Within region"
"Apr 1997 to Mar 1998","South East","North East thousands","245",245,3,"Between regions"
"Apr 1997 to Mar 1998","South East","North West thousands","986",986,3,"Between regions"
"Apr 1997 to Mar 1998","South East","Yorkshire and the Humber thousands","514",514,3,"Between regions"
"Apr 1997 to Mar 1998","South East","East Midlands thousands","673",673,3,"Between regions"
"Apr 1997 to Mar 1998","South East","West Midlands thousands","1,299",1299,3,"Between regions"
"Apr 1997 to Mar 1998","South East","East England thousands","2,074",2074,3,"Between regions"
"Apr 1997 to Mar 1998","South East","London thousands","106,974",106974,3,"Between regions"
"Apr 1997 to Mar 1998","South East","South West thousands","3,652",3652,3,"Between regions"
"Apr 1997 to Mar 1998","South East","Wales thousands","492",492,3,"Between regions"
"Apr 1997 to Mar 1998","South East","Scotland thousands","287",287,3,"Between regions"
"Apr 1997 to Mar 1998","South East","Journeys within South East thousands","47,009",47009,3,"Within region"
"Apr 1997 to Mar 1998","South West","North East thousands","161",161,3,"Between regions"
"Apr 1997 to Mar 1998","South West","North West thousands","515",515,3,"Between regions"
"Apr 1997 to Mar 1998","South West","Yorkshire and the Humber thousands","362",362,3,"Between regions"
"Apr 1997 to Mar 1998","South West","East Midlands thousands","266",266,3,"Between regions"
"Apr 1997 to Mar 1998","South West","West Midlands thousands","839",839,3,"Between regions"
"Apr 1997 to Mar 1998","South West","East England thousands","375",375,3,"Between regions"
"Apr 1997 to Mar 1998","South West","London thousands","6,703",6703,3,"Between regions"
"Apr 1997 to Mar 1998","South West","South East thousands","3,652",3652,3,"Between regions"
"Apr 1997 to Mar 1998","South West","Wales thousands","1,236",1236,3,"Between regions"
